12	10	E	-6848986.133902876	50
probinit	1	1.0
emissionprobs	4	1	H3k27ac	0	0.9808484411114711
emissionprobs	4	1	H3k27ac	1	0.019151558888528885
emissionprobs	4	2	H3k27me3	0	0.987091989229886
emissionprobs	4	2	H3k27me3	1	0.012908010770114074
emissionprobs	4	3	H3k36me3	0	0.9996027574687789
emissionprobs	4	3	H3k36me3	1	3.972425312210947E-4
emissionprobs	4	4	H3k4me1	0	0.8133744145278343
emissionprobs	4	4	H3k4me1	1	0.1866255854721656
emissionprobs	4	5	H3k4me2	0	0.6725223317677623
emissionprobs	4	5	H3k4me2	1	0.3274776682322376
emissionprobs	4	6	H3k4me3	0	0.7612593536815474
emissionprobs	4	6	H3k4me3	1	0.23874064631845265
emissionprobs	4	7	H3k79me2	0	0.9880191551715523
emissionprobs	4	7	H3k79me2	1	0.011980844828447636
emissionprobs	4	8	H3k9ac	0	0.9221983864424742
emissionprobs	4	8	H3k9ac	1	0.07780161355752585
emissionprobs	4	9	H3k9me1	0	0.9992810796488293
emissionprobs	4	9	H3k9me1	1	7.189203511706323E-4
emissionprobs	5	0	H2az	0	0.33359212459016857
emissionprobs	5	0	H2az	1	0.6664078754098314
emissionprobs	5	1	H3k27ac	0	0.3393297206268693
emissionprobs	5	1	H3k27ac	1	0.6606702793731307
emissionprobs	5	2	H3k27me3	0	0.9978414502492664
emissionprobs	5	2	H3k27me3	1	0.002158549750733656
emissionprobs	5	3	H3k36me3	0	0.9824965952044917
emissionprobs	5	3	H3k36me3	1	0.017503404795508267
emissionprobs	5	4	H3k4me1	0	0.6873821162944668
emissionprobs	5	4	H3k4me1	1	0.31261788370553323
emissionprobs	5	5	H3k4me2	0	0.18779548286446734
emissionprobs	5	5	H3k4me2	1	0.8122045171355327
emissionprobs	5	6	H3k4me3	0	0.008715799253571438
emissionprobs	5	6	H3k4me3	1	0.9912842007464285
emissionprobs	5	7	H3k79me2	0	0.4222329313763229
emissionprobs	5	7	H3k79me2	1	0.5777670686236771
emissionprobs	5	8	H3k9ac	0	0.07384663412448472
emissionprobs	5	8	H3k9ac	1	0.9261533658755153
emissionprobs	5	9	H3k9me1	0	0.9987185435549965
emissionprobs	5	9	H3k9me1	1	0.0012814564450035603
emissionprobs	6	0	H2az	0	0.5878357554905431
emissionprobs	6	0	H2az	1	0.41216424450945693
emissionprobs	6	1	H3k27ac	0	0.004586838417028418
emissionprobs	6	1	H3k27ac	1	0.9954131615829716
emissionprobs	6	2	H3k27me3	0	0.9999154639332225
emissionprobs	6	2	H3k27me3	1	8.453606677760901E-5
emissionprobs	6	3	H3k36me3	0	0.9817165378051879
emissionprobs	6	3	H3k36me3	1	0.0182834621948121
emissionprobs	6	4	H3k4me1	0	0.03165002958584154
emissionprobs	6	4	H3k4me1	1	0.9683499704141584
emissionprobs	6	5	H3k4me2	0	0.027555303920852307
emissionprobs	6	5	H3k4me2	1	0.9724446960791476
emissionprobs	6	6	H3k4me3	0	0.5966633348470952
emissionprobs	6	6	H3k4me3	1	0.4033366651529049
emissionprobs	6	7	H3k79me2	0	0.8375304618258916
